title,url,datePosted,hood,description,address,compensation
Computer Programmer,https://sfbay.craigslist.org/eby/sof/d/newark-computer-programmer/6847251268.html,1553213100000,fremont / union city / newark,"
        
POSITION: Computer Programmer
 POSITION DESCRIPTION: Write computer programs for the Upward.Net platform, back-end tools, and APIs. Complete programming using languages and software products and create and test the code across multiple environments and operating platforms. Use specifications drawn up by software developers to write computer codes for user interfaces to internet applications throughout the development lifecycle.
 EDUCATION REQUIREMENTS: Master’s Degree in Computer Science.
 EXPERIENCE: At least three years of experience as Computer Programmer or Software Developer.
 SPECIAL SKILLS: Requires experience with Object Oriented Programming concepts; Algorithms and Data Structures; SOLID Design Skills; System Analysis and Technical Architecture (Client-server, multi-tier applications, and Web technologies); Life Cycle Development process which includes Designing; and Developing, Implementation, and Testing.
 LOCATION: Newark, CA
 Please mail resumes to Upward.Net LLC, 8000 Jarvis Avenue, Suite 120, Newark, CA 94560.    ",,TBD
Technical Writer for a Blockchain Company,https://sfbay.craigslist.org/pen/sof/d/mountain-view-technical-writer-for/6847084261.html,1553200260000,mountain view,"
        
The Role:

Determine the needs of end users of technical documentation

Study product samples and talk with product designers and developers

Work with technical staff to make UX improvements to the product 

Organize and write supporting documents for products

Use photographs, drawings, diagrams, animation, and charts that increase users’ understanding

Select appropriate medium for message or audience, such as manuals or online videos

Standardize content across platforms and media

Gather usability feedback from customers, designers, and manufacturers

Revise documents as new issues arise

Qualifications:

Qualifications:

2+ years experience in technical documentation

Overall 5+ years of experience in high-tech general product development

Experience in building solid working relationships with customer, peers and staff

Experience working in a high pressure, fast-paced and strong technical environment

Experience managing projects with multiple dependencies and tight timelines

Bachelors degree, preferably in computer science, electrical engineering or computer engineering    ",1172 Castro Street,Market
Places Data Quality Specialist | $22 - $25 per hour,https://sfbay.craigslist.org/pen/sof/d/menlo-park-places-data-quality/6846993577.html,1553194500000,menlo park,"
        

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/5b4e9218/apply


HireArt is looking to hire a Places Data Quality Specialist to work on-site at our client's Menlo Park campus on a contract basis. In this role, you'll review and assess Places data across social media platforms while working with a team to investigate data issues, identify patterns, and provide feedback to engineers to improve data quality. You'll also research and escalate or resolve data-related issues.We're seeking a Places Data Quality Specialist who is highly detail oriented, comfortable working with data, and passionate about world geography. The ideal candidate is proactive, able to work both independently and collaboratively, and thrives in a dynamic, fast-paced environment. Previous experience in GIS or with places data is a huge plus!Responsibilities: 
Review, rate, and label Places data. 
Investigate ambitious issues to identify patterns and trends.
Provide feedback to team members and engineers to help improve data and product quality. 


If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/5b4e9218/apply


Requirements

Bachelor's degree

1+ years of professional work experience
Strong written and verbal communication 
Able to multitask and manage competing priorities
Proactive investigator with strong attention to detail 
Tech savvy and able to quickly learn internal products and tools
Able to work well independently and as part of a collaborative team
Passion for world geography and experience in GIS a huge plus
Commitment: This is a full-time (40 hours per week), 3-month contract position based in Menlo Park, CA. 

If you're interested in applying for the role, you can check it out here:
https://www.hireart.com/jobs/5b4e9218/apply

    ",,$22 - $25 per hour
Junior Database Administrator,https://sfbay.craigslist.org/eby/sof/d/oakland-junior-database-administrator/6846922229.html,1553190240000,oakland downtown,"
        
Scion Staffing (www.scionstaffing.com), the Bay Area’s leading nonprofit staffing specialist, has been engaged to find an attention-detailed Junior Database Analyst for the California Nurses Association/ National Nurses Organizing Committee. This position is for immediate hire.

OVERVIEW:

This role is a temporary position managing our SQL Server databases, which includes development, test and production environments for our various enterprise and external web applications. Additional duties will include working with several departments to add system functionality, tables, and data; optimizing systems for availability and performance; and contributing to system upgrades. The Database Administrator also is responsible for maintaining applications, processes, and maintenance procedures; performance tuning; and documentation and management of changes to database operations.

RESPONSIBILITIES:

 Setup, configure, and install database systems located in virtual environments both on-premises and in the cloud (Azure).
 Optimizes and tunes database systems.
 Proactively monitors performance and capacity.
 Performs data ports and data loads; monitors and tests data integrity as required.
 Backup, recovery, testing of recovery procedures, and archiving databases.
 Troubleshoots database issues and performs database impact analysis for proposed changes.
 Ensures that systems stay updated on all relevant patches and upgrades.
 Alter tables and schema structure as required.
 Works with the application development teams to develop stored procedures, triggers and code to support enterprise applications as well as to enforce coding standards.
 Executes database release management processes and coordinates maintenance of development, testing, and production environments.
 Deploy database change scripts provided by third party vendors.
 Automates manual processes when practical.
 Maintains quality service by establishing and enforcing organization standards.
 Document the company’s database environment.
TO BE SUCCESFUL: 

Must be able to work within our office, no remote candidates.
2+ years Microsoft (MS) SQL Server experience.
2+ years of overall database administration experience (development or production environments, any RDBMS).
2+ years of production MS SQL Server administration experience.
2+ years of experience with Windows server, including Active Directory.
Strong technical and analytical and problem solving skills to troubleshoot root cause of database related issues.
Working knowledge using ANSI SQL with Transact-SQL (T-SQL) preferred.
Experience in data-cleansing and validation of data integrity.
Analysis Services (SSAS), Integration Services (SSIS), or Reporting Services (SSRS).
Failover clustering, SAN replication, and other high availability technologies.
Writing T-SQL from scratch.
Experience using SSIS and other ETL tools to automate data import and processing.
Experience with Azure cloud hosting environments.
SALARY:
This position offers a competitive salary of $45+ hourly, DOE.

HOW TO APPLY:
For immediate consideration, please submit your resume as a Word (.doc) or (.docx) attachment to https://www.scionstaffing.com/jobportal/#/jobs/5407. Or submit your resume by responding directly to this add.

ABOUT OUR SEARCH FIRM:
Scion Staffing is an award winning staffing firm headquartered in San Francisco, CA. Over the past few years, our firm has had the pleasure of successfully assisting hundreds of local employers. No matter the requisition or size, our track record and recruitment process has made us one of the top recruitment firms in California. Additional information about our firm and success can also be found online at www.scionstaffing.com or in the 2010-2018 Business Times list of top staffing firms.

Scion Staffing is an equal opportunity employer and service provider and does not discriminate on the basis of race, religion, gender, gender identity, national origin, citizenship status, sexual orientation, disability, political affiliation or belief. We are committed to the principles of Equal Opportunity Employment and are dedicated to making employment decisions based on merit and value, for ourselves, our client companies, and for the candidates we represent.    ",,"$45+ hourly, DOE"
JavaScript Developer at craigslist,https://sfbay.craigslist.org/sfc/sof/d/java-developer-at/6576102796.html,1553183820000,financial district,"
        

craigslist seeks JavaScript developers to:
 
imagine, design, implement, test, and roll out new features
ship code daily and see it loved (or hated) by millions
draw from and contribute to various open source projects
enjoy a tech-driven, laid-back, idealistic, fun-loving workplace

Required skills:

proficiency with JavaScript/jQuery/AJAX, CSS, CSS pre-processors (we use LESS!), HTML
deep understanding of front end web development and optimization
fluent in engaging, accessible, cross-browser, responsive web design
prolific troubleshooting and problem solving skills
well-grounded in basic UI/UX design principles

Experience with any of the following is beneficial, but not required:

Node.js
UI libraries and frameworks
large scale, big traffic, high performance websites
website security, cross-site scripting & other vulnerabilities
API design and maintenance
mobile app design, supporting mobile platforms
integrated mapping technologies
Linux/UNIX, Perl, Python, C/C++

The ideal candidate:

self-motivated and highly productive
a data-driven problem solver
passionate about helping (and delighting) end users
loves learning and teaching others
passion for automation
makes teammates better
resourceful and adaptable
communicates effectively
empathetic and self-aware
loves craigslist 

A sampling of the technologies we work with includes:
 
Linux, Apache, MySQL, Perl
Python, Node.js, C/C++
JavaScript, jQuery, AJAX
redis, SQLite
HTML, CSS, JSON, XML

craigslist offers:

an unusually philanthropic company mission and philosophy
a small team (~50) of fun-loving, smart, interesting, idealistic people
non-garden-variety tech challenges at billion-page-view-per-day scale
a tech nirvana, free from VCs, MBAs, sales, marketing, biz dev, or pivoting
big company stability and benefits -- w/o the dysfunction and despair
competitive market rates for you -- free classifieds for humanity

craigslist benefits include:

100% paid (including eligible dependents) health and dental insurance
craigslist-provided health reimbursement account ($4K-$10K)
3-to-1 match on employee charitable donations (up to 10% of salary)
401(k) matching program (up to 6% of salary), with immediate vesting
4 weeks paid time off; 10 paid holidays
paid parental leave
commuting stipend (up to $360/month)
wellness stipend (up to $150/month)
mobile phone and at-home internet stipend (up to $250/month)
bike-friendly culture, in-office bicycle parking
healthy (vegan, vegetarian, omnivore) breakfast, lunch, and snacks daily
SF HQ with 25' ceilings, all natural light, adjustable height desks, CoffeeBot 9000

Please note: This position is based in craigslist's San Francisco office. Relocation expenses will be reimbursed. Candidates must be authorized to work in the United States without sponsorship.

To apply, please reply with your plain text resume, a cover email which includes a summary of your technical strengths and interests, and JS DEV in the subject line. No attachments, please.

craigslist is an equal opportunity employer and does not discriminate based sex (including pregnancy, perceived pregnancy, childbirth, breastfeeding, and related medical conditions), age, genetic information, marital/domestic partner status, medical condition (including cancer, genetic characteristics, or AIDS/HIV), mental/physical disability, national origin or ancestry (including language use and holding a driver's license granted under Vehicle Code section 12801.9), race and color, religion, creed, gender (including actual/perceived gender identity, expression, or transition, and transgender or gender non-conforming status), sexual orientation, weight, height, military/veteran status, or any other characteristic protected by federal, state, or local laws.
    ",,DOE
Full Stack Web Developer at craigslist,https://sfbay.craigslist.org/sfc/sof/d/full-stack-web-developer-at/6576105241.html,1553183820000,financial district,"
        

craigslist seeks full stack web developers to:
 
imagine, design, implement, test, and roll out new features
ship code daily and see it loved (or hated) by millions
draw from and contribute to various open source projects
enjoy a tech-driven, laid-back, idealistic, fun-loving workplace

Required skills:
 
5+ years programming experience
proven ability to design, develop, and maintain web systems
deep understanding of web development concepts
expert level knowledge in a programming language
solid troubleshooting and problem solving skills
familiarity with Linux/UNIX

Experience with any of the following is beneficial, but not required:

large scale, big traffic, high performance websites
security, web site vulnerabilities, phishing attacks
machine learning
user interface design
event driven programming
internationalization, encoding systems, Unicode
anti-fraud / spam / scam systems
accounts receivable & billing systems
QA / automated testing
queuing / job scheduling systems
networking protocols
build systems
project management

The ideal candidate:

self-motivated and highly productive
a data-driven problem solver
passionate about helping (and delighting) end users
loves learning and teaching others
passion for automation
makes teammates better
resourceful and adaptable
communicates effectively
empathetic and self-aware
loves craigslist 

A sampling of the technologies we work with includes:
 
Linux, Apache, MySQL, Perl
Python, Node.js, C/C++
JavaScript, jQuery, AJAX
redis, SQLite
HTML, CSS, JSON, XML

craigslist offers:

an unusually philanthropic company mission and philosophy
a small team (~50) of fun-loving, smart, interesting, idealistic people
non-garden-variety tech challenges at billion-page-view-per-day scale
a tech nirvana, free from VCs, MBAs, sales, marketing, biz dev, or pivoting
big company stability and benefits -- w/o the dysfunction and despair
competitive market rates for you -- free classifieds for humanity

craigslist benefits include:

100% paid (including eligible dependents) health and dental insurance
craigslist-provided health reimbursement account ($4K-$10K)
3-to-1 match on employee charitable donations (up to 10% of salary)
401(k) matching program (up to 6% of salary), with immediate vesting
4 weeks paid time off; 10 paid holidays
paid parental leave
commuting stipend (up to $360/month)
wellness stipend (up to $150/month)
mobile phone and at-home internet stipend (up to $250/month)
bike-friendly culture, in-office bicycle parking
healthy (vegan, vegetarian, omnivore) breakfast, lunch, and snacks daily
SF HQ - 25' ceilings, all natural light, adjustable height desks, CoffeeBot 9000

Please note: This position is based in craigslist's San Francisco office. Relocation expenses will be reimbursed. Candidates must be authorized to work in the United States without sponsorship.

To apply, please reply with your plain text resume, a cover email which includes a summary of your technical strengths and interests, and WEB DEV in the subject line. No attachments, please.

craigslist is an equal opportunity employer and does not discriminate based sex (including pregnancy, perceived pregnancy, childbirth, breastfeeding, and related medical conditions), age, genetic information, marital/domestic partner status, medical condition (including cancer, genetic characteristics, or AIDS/HIV), mental/physical disability, national origin or ancestry (including language use and holding a driver's license granted under Vehicle Code section 12801.9), race and color, religion, creed, gender (including actual/perceived gender identity, expression, or transition, and transgender or gender non-conforming status), sexual orientation, weight, height, military/veteran status, or any other characteristic protected by federal, state, or local laws.    ",,DOE
React Developer at craigslist,https://sfbay.craigslist.org/sfc/sof/d/react-developer-at/6576107141.html,1553183820000,financial district,"
        

craigslist seeks React web developers to:

design, implement, test, and roll out new features for web and mobile
ship code daily and see it loved (or hated) by millions
draw from and contribute to various open source projects
enjoy a tech-driven, laid-back, idealistic, fun-loving workplace

Required skills:

proficiency with JavaScript/ES6
Redux/Flux architecture
experience in building websites with React.js
confidence with basic UI/UX design principles
understanding of front end web development and optimization
interest in designing and building performant and intuitive mobile apps
fluent in engaging, accessible, cross-browser, responsive web design
solid critical thinking, troubleshooting, and problem solving skills

Experience with any of the following is beneficial, but not required:

ReactNative
mobile app development
Enzyme, Detox, Jest, Selenium/Appium, or other automated testing tools
API design and maintenance
UI libraries and frameworks
functional programming
Node.js
Linux/UNIX

The ideal candidate:

self-motivated and highly productive
a data-driven problem solver
passionate about helping (and delighting) end users
loves learning and teaching others
passion for automation
makes teammates better
resourceful and adaptable
communicates effectively
empathetic and self-aware
loves craigslist

A sampling of the technologies we work with includes:

Linux, Apache, MySQL, Perl
Python, Node.js, C/C++
Javascript, jQuery, AJAX
redis, SQLite
HTML, CSS, JSON, XML

craigslist offers:

an unusually philanthropic company mission and philosophy
a small team (~50) of fun-loving, smart, interesting, idealistic people
non-garden-variety tech challenges at billion-page-view-per-day scale
a tech nirvana, free from VCs, MBAs, sales, marketing, biz dev, or pivoting
big company stability and benefits -- w/o the dysfunction and despair
competitive market rates for you -- free classifieds for humanity

craigslist benefits include:

100% paid (including eligible dependents) health and dental insurance
craigslist-provided health reimbursement account ($4K-$10K)
3-to-1 match on employee charitable donations (up to 10% of salary)
401(k) matching program (up to 6% of salary), with immediate vesting
4 weeks paid time off; 10 paid holidays
paid parental leave
commuting stipend (up to $360/month)
wellness stipend (up to $150/month)
mobile phone and at-home internet stipend (up to $250/month)
bike-friendly culture, in-office bicycle parking
healthy (vegan, vegetarian, omnivore) breakfast, lunch, and snacks daily
SF HQ with 25' ceilings, all natural light, adjustable height desks, CoffeeBot 9000

Please note: This position is based in craigslist's San Francisco
office. Relocation expenses will be reimbursed. Candidates must be
authorized to work in the United States without sponsorship.

To apply, please reply with your plain text resume, a cover email which
includes a summary of your technical strengths and interests, and REACT DEV
 in the subject line. No attachments, please.

craigslist is an equal opportunity employer and does not discriminate based sex (including pregnancy, perceived pregnancy, childbirth, breastfeeding, and related medical conditions), age, genetic information, marital/domestic partner status, medical condition (including cancer, genetic characteristics, or AIDS/HIV), mental/physical disability, national origin or ancestry (including language use and holding a driver's license granted under Vehicle Code section 12801.9), race and color, religion, creed, gender (including actual/perceived gender identity, expression, or transition, and transgender or gender non-conforming status), sexual orientation, weight, height, military/veteran status, or any other characteristic protected by federal, state, or local laws. 
    ",,DOE
Mobile App Developer at craigslist,https://sfbay.craigslist.org/sfc/sof/d/mobile-app-developer-at/6576108679.html,1553183820000,financial district,"
        

craigslist seeks Mobile App Developer to:

design, develop, test, and maintain mobile apps
ship code daily and see it loved (or hated) by millions
draw from and contribute to various open source projects
enjoy a tech-driven, laid-back, idealistic, fun-loving workplace

Required skills:

programming experience in JavaScript/ES6
proven ability to design, develop, and maintain Android and iOS apps
understanding of web development concepts
solid troubleshooting and problem solving skills
familiarity with Linux/UNIX

Experience with any of the following is beneficial, but not required:

React or React Native
Redux/Flux
mobile app build systems
Appium, Selenium, Mocha, Jest, or other automated app testing
 Java, Objective-C, or Swift
working with APIs
performance tuning
large scale, big traffic, high performance websites
security, web site vulnerabilities, phishing attacks
user interface design
event driven programming
internationalization, encoding systems, Unicode
anti-fraud / spam / scam systems
networking protocols
project management

The ideal candidate:

self-motivated and highly productive
a data-driven problem solver
passionate about helping (and delighting) end users
loves learning and teaching others
passion for automation
makes teammates better
resourceful and adaptable
communicates effectively
empathetic and self-aware
loves craigslist

A sampling of the technologies we work with includes:

Linux, Apache, MySQL, Perl
Python, Node.js, C/C++
JavaScript, jQuery, AJAX
redis, SQLite
HTML, CSS, JSON, XML

craigslist offers:

an unusually philanthropic company mission and philosophy
a small team (~50) of fun-loving, smart, interesting, idealistic people
non-garden-variety tech challenges at billion-page-view-per-day scale
a tech nirvana, free from VCs, MBAs, sales, marketing, biz dev, or pivoting
big company stability and benefits -- w/o the dysfunction and despair
competitive market rates for you -- free classifieds for humanity

craigslist benefits include:

100% paid (including eligible dependents) health and dental insurance
craigslist-provided health reimbursement account ($4K-$10K)
3-to-1 match on employee charitable donations (up to 10% of salary)
401(k) matching program (up to 6% of salary), with immediate vesting
4 weeks paid time off; 10 paid holidays
paid parental leave
commuting stipend (up to $360/month)
wellness stipend (up to $150/month)
mobile phone and at-home internet stipend (up to $250/month)
bike-friendly culture, in-office bicycle parking
healthy (vegan, vegetarian, omnivore) breakfast, lunch, and snacks daily
SF HQ with 25' ceilings, all natural light, adjustable height desks, CoffeeBot 9000

Please note: This position is based in craigslist's San Francisco office. Relocation expenses will be reimbursed. Candidates must be authorized to work in the United States without sponsorship.

To apply, please reply with your plain text resume, a cover email which includes a summary of your technical strengths and interests, and MOBILE DEV in the subject line. No attachments, please.

craigslist is an equal opportunity employer and does not discriminate based sex (including pregnancy, perceived pregnancy, childbirth, breastfeeding, and related medical conditions), age, genetic information, marital/domestic partner status, medical condition (including cancer, genetic characteristics, or AIDS/HIV), mental/physical disability, national origin or ancestry (including language use and holding a driver's license granted under Vehicle Code section 12801.9), race and color, religion, creed, gender (including actual/perceived gender identity, expression, or transition, and transgender or gender non-conforming status), sexual orientation, weight, height, military/veteran status, or any other characteristic protected by federal, state, or local laws.
    ",,DOE
"R&D Test Operator, Overnight",https://sfbay.craigslist.org/sfc/sof/d/san-francisco-rd-test-operator-overnight/6846777941.html,1553182020000,SOMA / south beach,"
        
We're the driverless car company.

We believe in improving people's lives by making transportation safer, more accessible, and more convenient. We're building the world's most advanced software to fuel the driverless cars that safely connect people to the places, things, and experiences they care about.

We seek and embrace diversity in all of its forms. We continuously push ourselves to think differently and take ownership wherever it's needed. This is a place for dreamers and doers to succeed. If you share our passion for achieving what some say is impossible, join us.

About the Role: 
We are hiring Vehicle Test Operators to help us test and improve the performance of our autonomous vehicles! You should have a knack for fixing things and work well under pressure. Navigating a computer should be second nature to you. Ideal candidates will have an impeccable driving record and excellent driving skills. We're looking for qualified candidates to join us in a contract position starting immediately. The contract is expected to last a year and possibly longer. 

Schedule:
Sunday - Thursday
11:45pm - 7:45am
40 hr/week
$23/hr with growth opportunities

**Apply at https://getcruise.com/ and search for ""R&D Test Operator, Overnight""**

Day-to-day responsibilities include:
- Ensure the safety of vehicles while in both autonomous and manual mode while operating the autonomous vehicle (AV)
- Log vehicle behavior and monitor vehicle software as the AV passenger
- Test the newest AV code and consistently deliver high-quality feedback to engineers
- Troubleshoot AV software in varied and dynamic environments
- Identify abnormal AV behaviors and escalate them through the proper channels
- Validate the performance of new and existing hardware including sensors and new vehicle platforms 
- Develop creative solutions to execute tests and improve operations
- Provide exceptional ride demonstrations to employees and guests of Cruise
- Remain well informed of all changes to vehicle behavior and tools
- Become a leader and train new operators
- Hold yourself and others accountable for maintaining our ""Stay Safe"" culture
- Perform special projects as requested by various Cruise teams
- Keep project details confidential 

You should apply for this role if you have the following qualifications:
- Ability to thoroughly diagnose and troubleshoot basic software issues
- Typing speed of over 50 words per minute
- Excellent written and verbal communication skills
- Licensed to drive a motor vehicle in the U.S. for the three years immediately preceding your application and currently hold an active California driver's license
- No more than 1-point on driving record and excellent driving skills
- Clean background check and drug screen
-Must safely operate the vehicle in accordance with Cruise safety protocols and applicable law.  This includes, but is not limited to, having a sufficient range of motion to turn a steering wheel, safely operating the accelerator and brake, checking blind spots and evaluating the environment, and maintaining appropriate airbag clearance.
-Ability to tolerate physical jolts and high-speed starts, stops, turns, and maneuvers associated with driving or taking control of the autonomous vehicle in both training and daily job functions
-Capability to perform physical work including, but not limited to, bending, stooping, and various operational tasks
-Work effectively and professionally in a stressful environment, including interactions with the public
-Capacity to remain alert and extremely focused for two-hour uninterrupted blocks of time
-Must satisfy the legal requirements to become an Operator (13 CCR § 227.34)


Bonus Points:
- 3+ years previous work experience
- Bachelor's degree (or relevant QA / Operations experience)
- Prior AV experience
- Military, Content Review, Technician, EMT experience
- Defensive drivers training (Smith Systems, etc.)
- Route/Delivery experience

Perks:
- Catered lunch, snacks, etc.
- The opportunity to solve difficult problems that have immediate and valuable real-world applications
- Applied product testing in real life situations

**Apply at https://getcruise.com/ and search for ""R&D Test Operator, Overnight""**

This position is full-time employment with our contingent workforce partner, paying $23/hour and offering benefits, 401(k), and paid time off.
 
GM Cruise LLC provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, sexual orientation, gender identity or expression, veteran status, or genetics. In addition to federal law requirements, GM Cruise LLC complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Pursuant to applicable laws, we will consider for employment qualified applicants with arrest and conviction records. If you have a disability or special need that requires accommodation, please let us know.

    ",1201 Bryant St.,23/hr
R&D Test Operator (In Vehicle Testing),https://sfbay.craigslist.org/sfc/sof/d/san-francisco-rd-test-operator-in/6846777118.html,1553182020000,SOMA / south beach,"
        
We're the driverless car company.

We believe in improving people's lives by making transportation safer, more accessible, and more convenient. We're building the world's most advanced software to fuel the driverless cars that safely connect people to the places, things, and experiences they care about.

We seek and embrace diversity in all of its forms. We continuously push ourselves to think differently and take ownership wherever it's needed. This is a place for dreamers and doers to succeed. If you share our passion for achieving what some say is impossible, join us.

About the Role: 
We are hiring Vehicle Test Operators to help us test and improve the performance of our autonomous vehicles! You should have a knack for fixing things and work well under pressure. Navigating a computer should be second nature to you. Ideal candidates will have an impeccable driving record and excellent driving skills. We're looking for qualified candidates to join us in a contract position starting immediately. The contract is expected to last a year and possibly longer. 

Schedule Options:
1) Saturday and/or Sunday
10:00am - 6:00pm
+
Three to four days during the week

2) Monday - Friday
8:00am - 4:00pm

All Total Hours = 40

$23/hr with growth opportunities

**Apply at https://getcruise.com/ and search for ""R&D Test Operator""**

Day-to-day responsibilities include:
- Ensure the safety of vehicles while in both autonomous and manual mode while operating the autonomous vehicle (AV)
- Log vehicle behavior and monitor vehicle software as the AV passenger
- Test the newest AV code and consistently deliver high-quality feedback to engineers
- Troubleshoot AV software in varied and dynamic environments
- Identify abnormal AV behaviors and escalate them through the proper channels
- Validate the performance of new and existing hardware including sensors and new vehicle platforms 
- Develop creative solutions to execute tests and improve operations
- Provide exceptional ride demonstrations to employees and guests of Cruise
- Remain well informed of all changes to vehicle behavior and tools
- Become a leader and train new operators
- Hold yourself and others accountable for maintaining our ""Stay Safe"" culture
- Perform special projects as requested by various Cruise teams
- Keep project details confidential 

You should apply for this role if you have the following qualifications:
- Ability to thoroughly diagnose and troubleshoot basic software issues
- Typing speed of over 50 words per minute
- Excellent written and verbal communication skills
- Licensed to drive a motor vehicle in the U.S. for the three years immediately preceding your application and currently hold an active California driver's license
- No more than 1-point on driving record and excellent driving skills
- Clean background check and drug screen
-Must safely operate the vehicle in accordance with Cruise safety protocols and applicable law.  This includes, but is not limited to, having a sufficient range of motion to turn a steering wheel, safely operating the accelerator and brake, checking blind spots and evaluating the environment, and maintaining appropriate airbag clearance.
-Ability to tolerate physical jolts and high-speed starts, stops, turns, and maneuvers associated with driving or taking control of the autonomous vehicle in both training and daily job functions
-Capability to perform physical work including, but not limited to, bending, stooping, and various operational tasks
-Work effectively and professionally in a stressful environment, including interactions with the public
-Capacity to remain alert and extremely focused for two-hour uninterrupted blocks of time
-Must satisfy the legal requirements to become an Operator (13 CCR § 227.34)


Bonus Points:
- 3+ years previous work experience
- Bachelor's degree (or relevant QA / Operations experience)
- Prior AV experience
- Military, Content Review, Technician, EMT experience
- Defensive drivers training (Smith Systems, etc.)
- Route/Delivery experience

Perks:
- Catered lunch, snacks, etc.
- The opportunity to solve difficult problems that have immediate and valuable real-world applications
- Applied product testing in real life situations

**Apply at https://getcruise.com/ and search for ""R&D Test Operator""**

This position is full-time employment with our contingent workforce partner, paying $23/hour and offering benefits, 401(k), and paid time off.
 
GM Cruise LLC provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, sexual orientation, gender identity or expression, veteran status, or genetics. In addition to federal law requirements, GM Cruise LLC complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. Pursuant to applicable laws, we will consider for employment qualified applicants with arrest and conviction records. If you have a disability or special need that requires accommodation, please let us know.

    ",1201 Bryant St.,23/hr
